SBSA	Spanish Broadcasting System
SBSI	Southside Bancshares
SBUX	Starbucks Corp.
SCBT	Scbt Financial Corp.
SCEI	Sino Clean Energy Inc.
SCHL	Scholastic Corp.
SCHN	Schnitzer Steel Industries
SCHS	School Specialty
SCIL	Scientific Learning Corp.
SCKT	Socket Mobile
SCLN	Sciclone Pharmaceuticals
SCMF	Southern Community Financial Corp.
SCMFO	Southern Community Financial Corp.
SCMP	Sucampo Pharmaceuticals
SCMR	Sycamore Networks
SCOK	Sinocoking Coal And Coke Chemical Industries In
SCON	Superconductor Technologies Inc.
SCOR	Comscore
SCSC	Scansource
SCSS	Select Comfort Corp.
SCVL	Shoe Carnival
SDBT	Soundbite Communications
SDIX	Strategic Diagnostics Inc.
SEAC	Seachange International
SEED	Origin Agritech Limited
SEIC	Sei Investments Company
SENEA	Seneca Foods
SENEB	Seneca Foods
SERV	Servidyne Inc.
SEV	Sevcon Inc
SFLY	Shutterfly
SFNC	Simmons First National Corp.
SFST	Southern First Bancshares
SGC	Superior Uniform Group
SGEN	Seattle Genetics
SGI	Silicon Graphics International Corp
SGMA	Sigmatron International
SGMO	Sangamo Biosciences
SGMS	Scientific Games Corp
SGNT	Sagent Pharmaceuticals Inc.
SGOC	Sgoco Group Ltd
SGRP	Spar Group
SHBI	Shore Bancshares Inc
SHEN	Shenandoah Telecommunications Co
SHFL	Shuffle Master
